feature value,n_samples,precision,recall,fbeta
 Amer-Indian-Eskimo,63,0.7777777777777778,0.7,0.7368421052631577
feature value,n_samples,precision,recall,fbeta
 Male,4346,0.7445510026155188,0.6559139784946236,0.6974275214373213
 Female,2167,0.6666666666666666,0.4789915966386555,0.5574572127139364
feature value,n_samples,precision,recall,fbeta
 Dominican-Republic,15,0.0,0.0,0.0
 United-States,5832,0.729818780889621,0.6324054246966453,0.6776290630975144
 Puerto-Rico,25,1.0,0.3333333333333333,0.5
 Philippines,41,0.6363636363636364,0.5,0.56
 ?,120,0.8695652173913043,0.6666666666666666,0.7547169811320754
 South,22,0.8,0.6666666666666666,0.7272727272727272
 India,20,0.5,0.4444444444444444,0.47058823529411764
 Mexico,125,0.6666666666666666,0.5,0.5714285714285715
 El-Salvador,23,1.0,0.6666666666666666,0.8
 Italy,19,0.75,1.0,0.8571428571428571
 Hong,4,0.0,0.0,0.0
 Columbia,20,0.0,0.0,0.0
 Haiti,9,1.0,0.5,0.6666666666666666
 Poland,12,0.0,0.0,0.0
 Germany,22,1.0,0.7,0.8235294117647058
 Ecuador,4,1.0,1.0,1.0
 Vietnam,16,0.0,0.0,0.0
 Hungary,1,0.0,0.0,0.0
 Jamaica,14,0.0,0.0,0.0
 Peru,6,0.5,1.0,0.6666666666666666
 Holand-Netherlands,1,0.0,0.0,0.0
 England,18,1.0,0.6666666666666666,0.8
 Cuba,16,1.0,1.0,1.0
 Canada,16,1.0,0.5,0.6666666666666666
 Japan,18,0.75,0.75,0.75
 Guatemala,9,0.0,0.0,0.0
 Ireland,4,0.0,0.0,0.0
 Portugal,6,0.0,0.0,0.0
 Iran,10,1.0,0.5,0.6666666666666666
 Trinadad&Tobago,5,0.0,0.0,0.0
 Cambodia,5,0.5,0.5,0.5
 Taiwan,10,1.0,0.8333333333333334,0.9090909090909091
 Nicaragua,5,0.0,0.0,0.0
 Greece,8,1.0,0.6666666666666666,0.8
 Outlying-US(Guam-USVI-etc),4,0.0,0.0,0.0
 France,6,0.5,0.5,0.5
 China,10,1.0,1.0,1.0
 Yugoslavia,5,0.0,0.0,0.0
 Laos,1,0.0,0.0,0.0
 Thailand,4,0.0,0.0,0.0
 Scotland,2,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Private,4528,0.7515299877600979,0.6316872427983539,0.6864169927333705
 Self-emp-not-inc,523,0.7790697674418605,0.46853146853146854,0.5851528384279476
 Federal-gov,216,0.6973684210526315,0.6463414634146342,0.6708860759493671
 State-gov,247,0.7777777777777778,0.6901408450704225,0.7313432835820896
 Local-gov,423,0.6776859504132231,0.6507936507936508,0.6639676113360324
 Self-emp-inc,218,0.8016528925619835,0.8151260504201681,0.8083333333333333
 ?,354,0.6666666666666666,0.48,0.5581395348837209
 Never-worked,3,0.0,0.0,0.0
 Without-pay,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 HS-grad,2135,0.6085106382978723,0.40625,0.4872231686541738
 Some-college,1499,0.6889952153110048,0.508833922261484,0.5853658536585366
 Assoc-voc,247,0.6976744186046512,0.46153846153846156,0.5555555555555556
 Bachelors,1026,0.7606635071090048,0.7570754716981132,0.7588652482269502
 Assoc-acdm,202,0.7608695652173914,0.6363636363636364,0.693069306930693
 Masters,355,0.8472906403940886,0.882051282051282,0.8643216080402011
 9th,113,1.0,0.2222222222222222,0.3636363636363636
 Doctorate,75,0.8333333333333334,0.8333333333333334,0.8333333333333334
 11th,237,1.0,0.15384615384615385,0.2666666666666667
 Prof-school,113,0.898876404494382,0.9302325581395349,0.9142857142857143
 5th-6th,66,1.0,1.0,1.0
 12th,72,1.0,0.25,0.4
 10th,163,0.6666666666666666,0.5714285714285714,0.6153846153846153
 7th-8th,159,1.0,0.4,0.5714285714285715
 1st-4th,37,0.0,0.0,0.0
 Preschool,14,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3010,0.7354627354627354,0.6711509715994021,0.7018366549433372
 Never-married,2082,0.875,0.44871794871794873,0.5932203389830508
 Divorced,943,0.8723404255319149,0.3761467889908257,0.5256410256410257
 Separated,206,1.0,0.5454545454545454,0.7058823529411764
 Widowed,172,1.0,0.3125,0.47619047619047616
 Married-spouse-absent,93,1.0,0.125,0.2222222222222222
 Married-AF-spouse,7,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Adm-clerical,743,0.6753246753246753,0.46846846846846846,0.5531914893617021
 Prof-specialty,803,0.7819767441860465,0.7797101449275362,0.7808417997097242
 Exec-managerial,823,0.8160621761658031,0.7797029702970297,0.7974683544303797
 Sales,699,0.7619047619047619,0.6597938144329897,0.707182320441989
 Craft-repair,845,0.6174496644295302,0.4946236559139785,0.5492537313432836
 Transport-moving,313,0.6388888888888888,0.3484848484848485,0.45098039215686275
 Machine-op-inspct,407,0.56,0.28,0.37333333333333335
 Other-service,678,0.7142857142857143,0.15625,0.25641025641025644
 Farming-fishing,199,0.6,0.2857142857142857,0.3870967741935483
 Handlers-cleaners,296,0.625,0.38461538461538464,0.4761904761904762
 ?,357,0.6666666666666666,0.48,0.5581395348837209
 Tech-support,176,0.7441860465116279,0.6274509803921569,0.6808510638297872
 Protective-serv,132,0.6774193548387096,0.525,0.5915492957746479
 Priv-house-serv,41,0.0,0.0,0.0
 Armed-Forces,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2649,0.7345622119815668,0.6697478991596638,0.7006593406593405
 Unmarried,712,0.8235294117647058,0.3111111111111111,0.45161290322580644
 Own-child,1043,1.0,0.23076923076923078,0.375
 Wife,323,0.7481481481481481,0.6870748299319728,0.7163120567375886
 Other-relative,170,0.5,0.2,0.28571428571428575
 Not-in-family,1616,0.8974358974358975,0.4294478527607362,0.5809128630705395
feature value,n_samples,precision,recall,fbeta
 White,5552,0.7481420313790256,0.6416430594900849,0.6908120472741136
 Asian-Pac-Islander,213,0.6818181818181818,0.5769230769230769,0.6249999999999999
 Black,623,0.7796610169491526,0.5476190476190477,0.6433566433566434
 Amer-Indian-Eskimo,65,0.5,0.1111111111111111,0.1818181818181818
 Other,60,0.75,0.5,0.6
feature value,n_samples,precision,recall,fbeta
 Male,4387,0.7428323197219809,0.642374154770849,0.6889605157131345
 Female,2126,0.7751479289940828,0.5646551724137931,0.6533665835411472
feature value,n_samples,precision,recall,fbeta
 United-States,5844,0.7485667485667485,0.6360473208072372,0.6877351392024078
 Philippines,35,0.8571428571428571,0.6,0.7058823529411764
 Trinadad&Tobago,6,0.0,0.0,0.0
 Italy,13,1.0,0.75,0.8571428571428571
 Iran,11,0.5714285714285714,1.0,0.7272727272727273
 Columbia,18,0.0,0.0,0.0
 El-Salvador,29,1.0,1.0,1.0
 Mexico,135,0.6666666666666666,0.5,0.5714285714285715
 China,12,0.5,1.0,0.6666666666666666
 ?,114,0.6428571428571429,0.6428571428571429,0.6428571428571429
 Puerto-Rico,16,0.0,0.0,0.0
 Poland,16,1.0,0.5,0.6666666666666666
 India,23,0.6666666666666666,0.5714285714285714,0.6153846153846153
 France,8,1.0,1.0,1.0
 Japan,10,1.0,0.5,0.6666666666666666
 Nicaragua,7,0.0,0.0,0.0
 England,20,0.6666666666666666,0.3333333333333333,0.4444444444444444
 South,20,0.5,0.6666666666666666,0.5714285714285715
 Jamaica,11,0.6666666666666666,0.5,0.5714285714285715
 Dominican-Republic,19,0.0,0.0,0.0
 Greece,5,1.0,0.5,0.6666666666666666
 Outlying-US(Guam-USVI-etc),2,0.0,0.0,0.0
 Taiwan,6,0.0,0.0,0.0
 Haiti,9,1.0,0.5,0.6666666666666666
 Guatemala,13,0.0,0.0,0.0
 Germany,18,1.0,0.8,0.888888888888889
 Cuba,14,1.0,0.5,0.6666666666666666
 Cambodia,5,0.5,0.5,0.5
 Vietnam,8,0.0,0.0,0.0
 Portugal,6,0.0,0.0,0.0
 Ireland,7,1.0,1.0,1.0
 Canada,25,0.8,0.4444444444444444,0.5714285714285714
 Peru,5,0.0,0.0,0.0
 Hungary,2,0.0,0.0,0.0
 Honduras,2,0.0,0.0,0.0
 Hong,5,1.0,1.0,1.0
 Yugoslavia,3,0.0,0.0,0.0
 Laos,6,0.0,0.0,0.0
 Scotland,1,1.0,1.0,1.0
 Thailand,3,1.0,1.0,1.0
 Ecuador,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4529,0.7307249712313003,0.6231599607458292,0.6726694915254238
 Local-gov,393,0.6880733944954128,0.6696428571428571,0.6787330316742082
 State-gov,278,0.8,0.6746987951807228,0.7320261437908497
 Federal-gov,191,0.8695652173913043,0.7407407407407407,0.7999999999999999
 ?,387,0.7037037037037037,0.5,0.5846153846153846
 Self-emp-inc,225,0.7841726618705036,0.8074074074074075,0.7956204379562045
 Self-emp-not-inc,504,0.6074766355140186,0.4961832061068702,0.5462184873949579
 Without-pay,3,0.0,0.0,0.0
 Never-worked,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Assoc-voc,273,0.576271186440678,0.5,0.5354330708661418
 HS-grad,2090,0.592,0.43023255813953487,0.4983164983164983
 7th-8th,121,1.0,0.2,0.33333333333333337
 Bachelors,1068,0.7726269315673289,0.7658643326039387,0.7692307692307692
 10th,181,0.6666666666666666,0.13333333333333333,0.2222222222222222
 Assoc-acdm,214,0.7073170731707317,0.5471698113207547,0.6170212765957447
 Some-college,1476,0.6976744186046512,0.5319148936170213,0.6036217303822938
 Masters,342,0.8472906403940886,0.8309178743961353,0.8390243902439024
 11th,250,0.3333333333333333,0.09090909090909091,0.14285714285714288
 Prof-school,104,0.810126582278481,0.9142857142857143,0.8590604026845637
 12th,76,0.6666666666666666,0.3333333333333333,0.4444444444444444
 9th,114,0.0,0.0,0.0
 5th-6th,65,1.0,1.0,1.0
 Doctorate,94,0.8311688311688312,0.927536231884058,0.8767123287671235
 1st-4th,34,0.0,0.0,0.0
 Preschool,11,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3020,0.7323506594259116,0.6850507982583455,0.7079115110611175
 Divorced,904,0.6595744680851063,0.3069306930693069,0.4189189189189189
 Married-spouse-absent,85,0.0,0.0,0.0
 Separated,212,1.0,0.4375,0.6086956521739131
 Never-married,2091,0.7674418604651163,0.4177215189873418,0.5409836065573771
 Widowed,197,1.0,0.21052631578947367,0.34782608695652173
 Married-AF-spouse,4,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Craft-repair,814,0.6581196581196581,0.41397849462365593,0.5082508250825083
 Handlers-cleaners,288,0.5,0.23076923076923078,0.3157894736842105
 Machine-op-inspct,391,0.59375,0.35185185185185186,0.4418604651162791
 Exec-managerial,844,0.7670588235294118,0.8190954773869347,0.7922235722964762
 Adm-clerical,720,0.7083333333333334,0.51,0.5930232558139535
 Other-service,683,0.5454545454545454,0.16216216216216217,0.25
 Transport-moving,305,0.5172413793103449,0.26785714285714285,0.3529411764705882
 Sales,694,0.7209302325581395,0.6169154228855721,0.6648793565683646
 Prof-specialty,841,0.7881136950904393,0.7721518987341772,0.7800511508951408
 ?,390,0.7037037037037037,0.5,0.5846153846153846
 Farming-fishing,202,0.6428571428571429,0.4090909090909091,0.5000000000000001
 Tech-support,188,0.578125,0.6727272727272727,0.6218487394957982
 Protective-serv,124,0.8235294117647058,0.6363636363636364,0.717948717948718
 Priv-house-serv,27,0.0,0.0,0.0
 Armed-Forces,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2668,0.738556338028169,0.6815597075548334,0.7089142374313477
 Own-child,1017,1.0,0.42857142857142855,0.6
 Not-in-family,1657,0.7176470588235294,0.3674698795180723,0.4860557768924303
 Unmarried,665,0.7857142857142857,0.2894736842105263,0.423076923076923
 Wife,308,0.6891891891891891,0.7132867132867133,0.7010309278350516
 Other-relative,198,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 White,5590,0.7308584686774942,0.6432947583390062,0.6842867487328023
 Asian-Pac-Islander,194,0.7391304347826086,0.6415094339622641,0.6868686868686867
 Black,609,0.813953488372093,0.5303030303030303,0.6422018348623852
 Amer-Indian-Eskimo,58,0.5714285714285714,0.6666666666666666,0.6153846153846153
 Other,62,1.0,0.2,0.33333333333333337
feature value,n_samples,precision,recall,fbeta
 Male,4411,0.7384105960264901,0.6482558139534884,0.6904024767801858
 Female,2102,0.6978021978021978,0.5695067264573991,0.6271604938271605
feature value,n_samples,precision,recall,fbeta
 United-States,5869,0.7278431372549019,0.6386785960082588,0.6803519061583578
 Canada,24,0.8571428571428571,0.6666666666666666,0.75
 Mexico,134,0.8333333333333334,0.5,0.625
 India,17,1.0,0.6666666666666666,0.8
 Hong,5,1.0,1.0,1.0
 Japan,14,0.25,0.3333333333333333,0.28571428571428575
 Vietnam,7,1.0,0.5,0.6666666666666666
 ?,108,0.7692307692307693,0.6666666666666666,0.7142857142857142
 Portugal,6,0.0,0.0,0.0
 England,22,0.8333333333333334,0.5555555555555556,0.6666666666666667
 Honduras,4,0.0,0.0,0.0
 Jamaica,19,0.0,0.0,0.0
 Germany,37,0.8571428571428571,0.42857142857142855,0.5714285714285714
 Philippines,32,0.8888888888888888,0.7272727272727273,0.7999999999999999
 Cambodia,3,0.0,0.0,0.0
 Taiwan,7,1.0,0.8333333333333334,0.9090909090909091
 Poland,8,0.5,0.5,0.5
 Italy,16,1.0,0.6666666666666666,0.8
 China,20,0.7142857142857143,1.0,0.8333333333333333
 El-Salvador,23,1.0,0.8333333333333334,0.9090909090909091
 Dominican-Republic,12,0.0,0.0,0.0
 Cuba,12,0.5,0.5,0.5
 Yugoslavia,2,0.0,0.0,0.0
 Puerto-Rico,19,1.0,0.3333333333333333,0.5
 South,12,0.6666666666666666,1.0,0.8
 Peru,7,0.0,0.0,0.0
 Laos,3,0.0,0.0,0.0
 Greece,6,1.0,0.5,0.6666666666666666
 Guatemala,14,0.0,0.0,0.0
 Hungary,2,0.0,0.0,0.0
 Iran,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
 Outlying-US(Guam-USVI-etc),6,0.0,0.0,0.0
 Nicaragua,2,0.0,0.0,0.0
 Trinadad&Tobago,4,0.0,0.0,0.0
 Haiti,9,0.0,0.0,0.0
 Ireland,5,1.0,1.0,1.0
 Thailand,4,0.0,0.0,0.0
 Ecuador,4,1.0,0.5,0.6666666666666666
 Scotland,1,1.0,1.0,1.0
 France,3,1.0,1.0,1.0
 Columbia,4,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4499,0.6825208085612366,0.5979166666666667,0.637423653525819
 Self-emp-inc,220,0.7560975609756098,0.8230088495575221,0.788135593220339
 ?,379,0.7142857142857143,0.40816326530612246,0.5194805194805194
 Self-emp-not-inc,530,0.7415730337078652,0.4489795918367347,0.5593220338983051
 Federal-gov,211,0.7976190476190477,0.7282608695652174,0.7613636363636362
 Local-gov,441,0.7410714285714286,0.5763888888888888,0.6484375
 State-gov,228,0.6666666666666666,0.6363636363636364,0.6511627906976744
 Without-pay,3,0.0,0.0,0.0
 Never-worked,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Assoc-voc,304,0.6984126984126984,0.5789473684210527,0.6330935251798561
 12th,90,1.0,0.5,0.6666666666666666
 HS-grad,2098,0.5695067264573991,0.3713450292397661,0.4495575221238938
 Bachelors,1078,0.7142857142857143,0.7511210762331838,0.73224043715847
 Some-college,1451,0.6536312849162011,0.4349442379182156,0.5223214285714286
 Assoc-acdm,211,0.65,0.5306122448979592,0.5842696629213483
 10th,176,0.6666666666666666,0.5714285714285714,0.6153846153846153
 Masters,363,0.786046511627907,0.7897196261682243,0.7878787878787878
 7th-8th,119,1.0,0.3,0.4615384615384615
 Doctorate,72,0.8620689655172413,0.8771929824561403,0.8695652173913043
 Prof-school,104,0.8333333333333334,0.9027777777777778,0.8666666666666667
 11th,244,0.0,0.0,0.0
 9th,94,1.0,0.09090909090909091,0.16666666666666669
 1st-4th,31,0.0,0.0,0.0
 5th-6th,70,0.0,0.0,0.0
 Preschool,8,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3023,0.6946688206785138,0.6505295007564297,0.671875
 Never-married,2147,0.8541666666666666,0.3565217391304348,0.5030674846625767
 Divorced,877,0.782608695652174,0.36,0.4931506849315068
 Separated,208,1.0,0.18181818181818182,0.3076923076923077
 Widowed,182,1.0,0.3125,0.47619047619047616
 Married-spouse-absent,73,1.0,0.2,0.33333333333333337
 Married-AF-spouse,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Craft-repair,813,0.5955882352941176,0.44021739130434784,0.50625
 Adm-clerical,774,0.6071428571428571,0.45132743362831856,0.5177664974619289
 Sales,729,0.6369047619047619,0.5631578947368421,0.5977653631284916
 ?,381,0.7142857142857143,0.40816326530612246,0.5194805194805194
 Prof-specialty,827,0.7784090909090909,0.7506849315068493,0.7642956764295675
 Other-service,626,0.8333333333333334,0.15151515151515152,0.25641025641025644
 Exec-managerial,836,0.7645569620253164,0.7512437810945274,0.7578419071518192
 Tech-support,185,0.6935483870967742,0.7543859649122807,0.7226890756302521
 Protective-serv,129,0.7368421052631579,0.5833333333333334,0.6511627906976745
 Transport-moving,290,0.55,0.2558139534883721,0.34920634920634924
 Farming-fishing,217,0.8181818181818182,0.375,0.5142857142857142
 Handlers-cleaners,288,1.0,0.10526315789473684,0.1904761904761905
 Machine-op-inspct,391,0.3157894736842105,0.2727272727272727,0.2926829268292683
 Priv-house-serv,25,0.0,0.0,0.0
 Armed-Forces,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2641,0.6942909760589319,0.66431718061674,0.6789734353894643
 Wife,342,0.6912751677852349,0.5754189944134078,0.6280487804878049
 Not-in-family,1680,0.8452380952380952,0.3622448979591837,0.5071428571428572
 Own-child,1029,0.8333333333333334,0.38461538461538464,0.5263157894736842
 Unmarried,650,0.8,0.2857142857142857,0.4210526315789473
 Other-relative,171,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 White,5579,0.7045267489711934,0.6070921985815603,0.6521904761904761
 Asian-Pac-Islander,214,0.7719298245614035,0.6111111111111112,0.6821705426356589
 Black,604,0.6885245901639344,0.56,0.6176470588235294
 Other,61,0.4,0.3333333333333333,0.3636363636363636
 Amer-Indian-Eskimo,55,0.5,0.125,0.2
feature value,n_samples,precision,recall,fbeta
 Male,4357,0.7053726169844021,0.6251920122887865,0.6628664495114007
 Female,2156,0.7043010752688172,0.48698884758364314,0.5758241758241758
feature value,n_samples,precision,recall,fbeta
 United-States,5821,0.7010734929810074,0.597887323943662,0.645381984036488
 Puerto-Rico,21,0.3333333333333333,1.0,0.5
 South,20,0.75,0.8571428571428571,0.7999999999999999
 Taiwan,7,0.75,1.0,0.8571428571428571
 England,18,0.6666666666666666,0.5,0.5714285714285715
 Peru,6,1.0,1.0,1.0
 Jamaica,13,0.75,0.75,0.75
 Japan,11,0.5,0.5,0.5
 Dominican-Republic,21,0.0,0.0,0.0
 Haiti,13,1.0,0.5,0.6666666666666666
 Laos,6,0.0,0.0,0.0
 Mexico,127,1.0,0.2857142857142857,0.4444444444444445
 Canada,23,0.75,0.75,0.75
 Germany,27,0.8571428571428571,0.6666666666666666,0.75
 Iran,8,0.8,0.8,0.8000000000000002
 El-Salvador,23,0.0,0.0,0.0
 Vietnam,15,0.0,0.0,0.0
 Italy,9,1.0,0.75,0.8571428571428571
 Cuba,17,0.6666666666666666,0.8,0.7272727272727272
 ?,130,0.7037037037037037,0.5757575757575758,0.6333333333333334
 India,19,0.625,0.625,0.625
 Guatemala,14,0.0,0.0,0.0
 Philippines,42,0.8125,0.6842105263157895,0.742857142857143
 Yugoslavia,5,0.0,0.0,0.0
 France,6,1.0,1.0,1.0
 Portugal,7,0.0,0.0,0.0
 Poland,10,0.5,0.5,0.5
 Columbia,11,0.0,0.0,0.0
 Nicaragua,4,1.0,1.0,1.0
 Thailand,5,1.0,1.0,1.0
 Hungary,2,0.0,0.0,0.0
 China,17,1.0,0.7142857142857143,0.8333333333333333
 Greece,7,0.6666666666666666,1.0,0.8
 Scotland,1,0.0,0.0,0.0
 Trinadad&Tobago,4,0.0,0.0,0.0
 Cambodia,4,0.0,0.0,0.0
 Outlying-US(Guam-USVI-etc),2,0.0,0.0,0.0
 Hong,4,1.0,0.5,0.6666666666666666
 Ecuador,5,0.0,0.0,0.0
 Ireland,3,1.0,1.0,1.0
 Honduras,5,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4528,0.6876430205949656,0.6407249466950959,0.663355408388521
 Self-emp-not-inc,522,0.7049180327868853,0.593103448275862,0.644194756554307
 ?,391,0.68,0.38636363636363635,0.4927536231884058
 Local-gov,380,0.6146788990825688,0.6568627450980392,0.6350710900473934
 State-gov,256,0.7619047619047619,0.7164179104477612,0.7384615384615385
 Federal-gov,190,0.7142857142857143,0.6617647058823529,0.6870229007633588
 Self-emp-inc,243,0.7941176470588235,0.8,0.7970479704797047
 Never-worked,1,0.0,0.0,0.0
 Without-pay,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Some-college,1464,0.6618357487922706,0.5074074074074074,0.5744234800838575
 HS-grad,2092,0.5826446280991735,0.4577922077922078,0.5127272727272727
 Bachelors,1093,0.7010526315789474,0.7551020408163265,0.7270742358078602
 Assoc-acdm,227,0.62,0.5849056603773585,0.6019417475728155
 Masters,340,0.797979797979798,0.8359788359788359,0.8165374677002585
 10th,178,0.75,0.25,0.375
 Doctorate,79,0.8208955223880597,0.9649122807017544,0.8870967741935484
 Assoc-voc,264,0.6610169491525424,0.6,0.6290322580645161
 11th,246,1.0,0.21428571428571427,0.35294117647058826
 7th-8th,133,0.5,0.16666666666666666,0.25
 Prof-school,104,0.8414634146341463,0.9452054794520548,0.8903225806451612
 12th,84,1.0,0.16666666666666666,0.2857142857142857
 9th,97,0.0,0.0,0.0
 5th-6th,74,1.0,1.0,1.0
 1st-4th,31,0.0,0.0,0.0
 Preschool,7,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,2986,0.692846034214619,0.6923076923076923,0.6925767586474932
 Never-married,2166,0.7647058823529411,0.4588235294117647,0.5735294117647058
 Divorced,893,0.7073170731707317,0.3020833333333333,0.4233576642335767
 Separated,211,1.0,0.5,0.6666666666666666
 Widowed,178,0.8,0.36363636363636365,0.5000000000000001
 Married-spouse-absent,76,1.0,0.4444444444444444,0.6153846153846153
 Married-AF-spouse,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Sales,757,0.6989247311827957,0.6666666666666666,0.6824146981627296
 Other-service,637,0.5555555555555556,0.20833333333333334,0.30303030303030304
 Prof-specialty,847,0.7634961439588689,0.8070652173913043,0.7846763540290621
 Machine-op-inspct,403,0.5882352941176471,0.4166666666666667,0.48780487804878053
 ?,392,0.68,0.38636363636363635,0.4927536231884058
 Craft-repair,817,0.5664335664335665,0.44751381215469616,0.5
 Adm-clerical,747,0.5465116279069767,0.49473684210526314,0.5193370165745858
 Handlers-cleaners,273,0.3333333333333333,0.14285714285714285,0.2
 Tech-support,181,0.75,0.6842105263157895,0.7155963302752295
 Exec-managerial,799,0.741424802110818,0.778393351800554,0.7594594594594595
 Protective-serv,109,0.6666666666666666,0.6875,0.676923076923077
 Transport-moving,319,0.5714285714285714,0.38461538461538464,0.4597701149425288
 Farming-fishing,203,0.7142857142857143,0.37037037037037035,0.4878048780487805
 Priv-house-serv,27,1.0,1.0,1.0
 Armed-Forces,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2635,0.7009674582233949,0.6948561464690497,0.6978984238178634
 Not-in-family,1671,0.7303370786516854,0.41139240506329117,0.5263157894736843
 Own-child,1009,1.0,0.3,0.4615384615384615
 Unmarried,702,0.9230769230769231,0.3,0.4528301886792453
 Other-relative,197,1.0,0.3,0.4615384615384615
 Wife,299,0.6258503401360545,0.6865671641791045,0.6548042704626335
feature value,n_samples,precision,recall,fbeta
 Asian-Pac-Islander,219,0.7560975609756098,0.5535714285714286,0.6391752577319588
 White,5537,0.6989914662529092,0.6595900439238653,0.6787193973634651
 Amer-Indian-Eskimo,73,0.6666666666666666,0.5714285714285714,0.6153846153846153
 Black,640,0.6470588235294118,0.515625,0.573913043478261
 Other,44,0.6,0.5,0.5454545454545454
feature value,n_samples,precision,recall,fbeta
 Male,4304,0.7055417700578991,0.6684952978056427,0.6865191146881288
 Female,2209,0.6502732240437158,0.5336322869955157,0.5862068965517241
feature value,n_samples,precision,recall,fbeta
 United-States,5826,0.7001569858712716,0.6525237746891002,0.6755017039000377
 Canada,25,0.5714285714285714,0.5,0.5333333333333333
 El-Salvador,18,1.0,1.0,1.0
 Mexico,116,0.5,0.4,0.4444444444444445
 Trinadad&Tobago,5,0.0,0.0,0.0
 Ireland,5,0.0,0.0,0.0
 Philippines,47,0.7142857142857143,0.4166666666666667,0.5263157894736842
 Cuba,18,0.8,0.8,0.8000000000000002
 Puerto-Rico,16,0.5,0.6666666666666666,0.5714285714285715
 Cambodia,3,1.0,1.0,1.0
 Dominican-Republic,14,0.5,1.0,0.6666666666666666
 Germany,25,0.6666666666666666,0.3333333333333333,0.4444444444444444
 Italy,23,0.8571428571428571,0.75,0.7999999999999999
 Guatemala,12,0.0,0.0,0.0
 ?,130,0.6333333333333333,0.6129032258064516,0.6229508196721313
 Jamaica,14,0.0,0.0,0.0
 England,23,0.7142857142857143,0.7142857142857143,0.7142857142857143
 Columbia,15,0.0,0.0,0.0
 Hungary,2,0.0,0.0,0.0
 Vietnam,11,0.0,0.0,0.0
 Greece,6,0.5,1.0,0.6666666666666666
 Laos,4,0.0,0.0,0.0
 Haiti,9,0.0,0.0,0.0
 Iran,9,0.5,1.0,0.6666666666666666
 Japan,15,0.5,0.25,0.3333333333333333
 Portugal,9,0.0,0.0,0.0
 Nicaragua,7,0.0,0.0,0.0
 India,17,0.8888888888888888,1.0,0.9411764705882353
 China,19,1.0,0.5555555555555556,0.7142857142857143
 South,15,1.0,0.5,0.6666666666666666
 France,8,0.3333333333333333,0.5,0.4
 Scotland,1,1.0,1.0,1.0
 Poland,6,1.0,0.5,0.6666666666666666
 Peru,6,0.0,0.0,0.0
 Hong,6,0.5,1.0,0.6666666666666666
 Honduras,3,0.0,0.0,0.0
 Taiwan,10,1.0,0.6666666666666666,0.8
 Ecuador,7,0.5,0.5,0.5
 Outlying-US(Guam-USVI-etc),2,0.0,0.0,0.0
 Thailand,2,0.0,0.0,0.0
 Yugoslavia,4,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Private,4523,0.7435897435897436,0.6207951070336392,0.6766666666666667
 Self-emp-inc,243,0.7547169811320755,0.851063829787234,0.8
 Local-gov,438,0.6742424242424242,0.7063492063492064,0.689922480620155
 ?,362,0.6071428571428571,0.5,0.5483870967741935
 Self-emp-not-inc,497,0.7254901960784313,0.5103448275862069,0.5991902834008097
 Federal-gov,195,0.696969696969697,0.6666666666666666,0.6814814814814815
 State-gov,252,0.7884615384615384,0.6212121212121212,0.6949152542372881
 Never-worked,1,0.0,0.0,0.0
 Without-pay,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Some-college,1440,0.6504424778761062,0.5287769784172662,0.5833333333333334
 Bachelors,1040,0.7798594847775175,0.7744186046511627,0.777129521586931
 11th,230,0.7142857142857143,0.4166666666666667,0.5263157894736842
 HS-grad,2097,0.5686274509803921,0.36363636363636365,0.44359464627151046
 10th,169,0.6666666666666666,0.3333333333333333,0.4444444444444444
 Masters,367,0.845771144278607,0.8133971291866029,0.8292682926829269
 Assoc-acdm,225,0.6458333333333334,0.5849056603773585,0.6138613861386139
 12th,86,1.0,0.125,0.2222222222222222
